sentence,emotion
"""ebonics"": pa of huge con-job blacks &amp; liberals have been running on america for decades. is actually lack of lanâ¦ ",0.25
"""green book"" ""sundown towns"", #route66 guide a reminder of  that faced travellers under #us #segregation  ",0.25
"""kevin didnât understand what heâd done, but he knew heâd fucked up."" #bestof2016 by @user  #marriage ",0.25
"""new""  paladino loving eggs like this shit head are out bitching about obama. block early, block often.  #spam",0.25
"""nigger?"" #lifelessons of a white kid who grew up in the 60's. #blogpost  #whitepeople #respectâ¦ ",0.25
"""nigger?"" #lifelessons of white kid growing up in the 60's.  #bloggersblast #respect  ",0.25
"""racism in muslim societies"" by dr. eren tasar of @user  #teaching #islam #sblaar16 ",0.25
"""rambling about: the alt right""  #blacktwitter #tcot #tlot #altright   #bcot  #blacklivesmatter",0.25
"""the blacks""? ""the blacks""? ""blacks""? *facepalm* *smh* ",0.25
"""the dying of the light""  village green/townÂ²  #antisemitism #hocoschools #columbiamd #hocomd",0.25
"""the reality is that the tech industry is made of regular-ass people."" #tech #discrimination  ",0.25
"""the reality is that the tech industry is made of regular-ass people."" #tech #discrimination  ",0.25
"""these are times of grave danger,with dissent recast as treason,  unchained and intolerance on the march""&amp;itâ¦ ",0.25
"""vandals turned a jewish family's menorah into a swastika""  #antisemitism  #hate",0.25
"""your people"" would have all died of scurvy their first winter if the first nations hadn't shown them a cute.â¦ ",0.25
"# universityofwisconsinmadison offering #problemofwhiteness course. if they're gonna be blatantly , why not? #snowflakes orgasmic.",0.25
#2016highlights #samwu fights against  in various municipalities such as in naboomspruit area,0.25
#2017 scatter #joy!â¢ may we bless&amp;keep shine upon be gracious look kindly toward one another. let us all #love as aâ¦ ,0.25
#acupuncture Pulled something in my neck and shoulder and no acupuncture today  Booooo,0
#aleppo #orlando  #syria  #trump  #war #berlinattack   #inequality   #bagdad  #nice  #paris  there is nothing to celebrate. #getreal,0.25
#alexpascal was #friend of my late daddy and my #music teacher.  @user @user @user eu easteuropeans are ,0.25
"#allahsoil âwe the peopleâ originally meant âwe the white, landholding males.â      â¦â¦ ",0.25
"#allahsoil jews, christians and muslims all believe that good will prevail. cnn #bbc #msnbc #2017in3words  â¦ ",0.25
"#allahsoil like all religions, islam can be a strong unifying force.    #teambtsâ¦ ",0.25
#allahsoil the bearâs rapacious hunger for oil also sealed its doom.  â¦  #teambtsâ¦ ,0.25
#allahsoil the cold war was fought over oil.   #teambts #teamsuperjunior â¦ ,0.25
#allahsoil the term jihad is a highly-contested concept.    â¦  #teambts #teamsuperjuniorâ¦ ,0.25
#andysessions #attorneygeneral  from #alabama #trump staing a #racewar will we let him? #chaos #fear #weaponry @user,0.25
#bama #alabama is the most  st. in the south but as long as those #ncaa #dollars roll in you keep #silent onâ¦ ,0.25
#bama total #hypocrites can #cheer like #hell but remain #silent on the #confederateflag &amp;  stance onâ¦ ,0.25
"#blackface, prostitutes, #hatespeech: a brief history of the #mummersparade behaving badly'  #xenophobia  ",0.25
#blacklivesmatter that's why bilal called the adhan on the kaaba   always existed hamza yusuf that was not nice ð,0.25
#bluelivesmatter  #woke #manspreading is okay   #ifyourenotwhiteyourenotracist,0.25
#boycott #lying #divisive #nationalist #foxnews add to your list @user @user @user karma sâ¦ ,0.25
#buffalo school board demanding #resignation after ââ remarks made about #obamas  #pc #carlpaladino #newyork,0.25
"#buffalo, #newyork : #trump ally carl #paladino slammed for  wish list for #obamas. what a cockwomble  #usa",0.25
"#burbank, #california : cou rejects city's appeal in  discrimination case against #armenian policeman  #usa",0.25
#bustyescos  haha really great! @user @user @user ,0.25
#carl #paladino says #michelle #obama should #live with a #gorilla   #resign #resignation #stop  - ,0.25
"#carlpaladino ""forever loyal to the city of buffalo""  you have a real class act there #buffalo.â¦ ",0.25
"#carlpaladino made , vile remarks about #presidentobama &amp; #micheleobama | #trump and his #deplorables must go ",0.25
#carlpaladino the #trump #official #underfire  for #obama  #remarks  ,0.25
"#carlpaladino, a**hole extraordinaire.  this guy is a #trump hero of course #gop  #fascismo, wishes obama deâ¦ ",0.25
#carlpaladino's  comments about the obamas make him a late contender for the most loathsome character of 2016 ,0.25
"#carriefisher was a #feminist, fighting  &amp; #ageism in #hollywood with her #pen, her #acting, her #talent &amp; hâ¦ ",0.25
#caturday. if you truly stand for equality then none of these can be acceptable.  â¦ ,0.25
#cctv  appeal after horrific   attack in #norrisgreen   ,0.25
#christians saying i am not racist is not â¦ protest and denounce   #retweetâ¦ ,0.25
#cnn calls #michigan middle school 'build the wall' chant '' #tcot  ,0.25
"#cologne - keep going stupids, keep commenting - already â¬ 30,- donations for #refugeeswelcome  sucksâ¦ ",0.25
"#conormcgregor runs his mouth endlessly like #rondarousey. both have lost. and yet, ppl only take glee in her losing.  perhaps?",0.25
"#cpcldr ~ before #elxn42, @user enabled @user mp's to make  statements. great alt-right work, #cpc. #cdnpoli ",0.25
"#cuomo: #paladino's ', ugly' comments on the #obamas embarrass new yorkers ",0.25
#democrats are the 1st to tell   jokes,0.25
#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2,1
#disgrace  ashamed that this person is a fellow #newyorker ð¡ð© ,0.25
#donaldtrump : i can't wait nothing good of a  (racist) and #misogynist ( misogynist) than see to the women like animals.,0.25
#donaldtrump's #ny campaign co-chair #carlpaladino unleashes on the #obamas in  2017 wish list | mic ,0.25
"#economicsanctions on #russia, #cuba and #china, but none against #whiteprivilege or #whitesupremacy or   #2017 #roughwaters",0.25
#emmastone is speaking out about  in #hollywood. they'll steal her jokes and given them to men #movies ,0.25
#fascism doesn't arrive doing a #nazi salut.but in a sharp suit #altright  #richardspencer #trumpism #dkpol ,0.25
#feminism and #equality helps #everyone it helps #men and #women  hus everyone everywhere,0.25
"#goodonedean!!!  #metoo!!! #lol.  #trumpism is #putinism.  #donaldtrump is a #traitor, #committed #treason.â¦ ",0.25
#goverment #left is against #womensrighttochoose a #drink  #feminism #hillary #trump  #discrimination #obama,0.25
#gracemugabe is just as  as her husband. #mugabe #zimbabwe @user @user @user @user ,0.25
#hamzayusuf apologists be like ... #ris  #jetlagged @ doubletree by hilton londonâ¦ ,0.25
"#happy #white #kwanzaa, the #holiday only #african #whitesupremacists #celebrate. #happykwanzaa #happyholidays  #merrychristmas",0.25
#happyholidays and try not to be a  this #christmaseve :-d ,0.25
"#hatred,#greed&amp; destroyed many lives,but mad #leadership &amp; bad #government policies have destroyed more. #newyear2017 #politics",0.25
"#history will not be kind to those who enable the #corruption,  and #misogny of @user and his embâ¦ ",0.25
#ifyousawinyouwhatisee you would believe the accusations regarding your father  ,0.25
#instagram's #bestfeature when you don't want to read #stupid  #childish #rude #comments ðð½ ,0.25
#intrumpsamerica extending your hand &amp; uniting merica is unprecedented!  #rapist #egomaniac @user ,0.25
#israel   this is  and the rape of land that is not theirs at all  #freedom for #palestine ðµð¸  ,0.25
#italians weren't coming from a country were women were stoned and they didn't entered #illegally. pro-#immigrant bâ¦ ,0.25
#itstheendoftheworldand #us #msm has yet to honestly expose the deep rooted hatred towards #barrackobama was based on  &amp; so... #trump,0.25
#japan abe govt oppress #freedomofspeech than #hatespeech or   #nytimes #guardian #humanrightswatch #iamnotabe #anonymous #rsf #afp,0.25
#jeffsessions  #attorneygeneral  from #alabama #trump staing a #racewar will we let him? #chaos #fear #weaponry @user,0.25
"#jeffsessions is , #bigoted and #notfit for the job. ",0.25
#jeffsessions omits decades of records for his ag confirmation hearing  â¦ no surprise from this  #weasel,0.25
#jeffsessions omits decades of records for his ag confirmation hearing  'don't do as i do'  ,0.25
#jeffsessions thinks we won't notice as he redacts decades of ove  in his application for ag confirmation. ,0.25
"#joemixon #espn #minnesotavikings, and it ""goes without saying"", he's a #homophobe, too.  #sucklahoma #oabâ¦ ",0.25
#jokeoftheday #1pun   what does the tornado and black people have in common?  it only takes 1 to ruin the neighborhood.,0.25
#katiesikphoto is proud to present #thesexismproject team! @user @user  #feminismâ¦ ,0.25
#kindledeals ð¡ publishing industry tell-all! ð¡ just $3.99!  #bookpublishing #publishing #kindle #kindledeals ,0.25
"#koreans &amp; joseon people in japan, will abuse the  for claims of own rights by rough demo.  #aberdeen",0.25
"#koreans &amp; joseon people in japan, will abuse the  for claims of own rights by rough demo.  #algona",0.25
"#koreans &amp; joseon people in japan, will abuse the  for claims of own rights by rough demo.  #anacoes",0.25
#lgbti #poc need to speak up against the  that's rife within the #lgbti community! it's unacceptableâ¦ ,0.25
#libtard #regressive=. can't effo a logic point w/out #insults or #slurs especially if #refuted. that's whâ¦ ,0.25
#maga #maga3x this #moron who tweeted this sewage below doesn't understand why he and #hillarylost.â¦ ,0.25
#manipur #ndtv #timenow #samachar #zeenews #dordarshan  #genocide  what would be the reaction of the... ,0.25
#marijuana prohibition was  from the sta  #detroit #mi #atlanta #tennessee #alabama #georgia #florida #utah,0.25
#mcconnell obstruction goes all the way back to when he discovered #obama was black    ,0.25
#michelleobama is the most hated women in america today! get your facts straight @user ! her and her  #oprah,0.25
"#microsoft #twitterbot turns into a raging sexist,  and genocide-defender. #ai #tech  ",0.25
#mizzou: body cam reveals black students threatening white frat boys...  ,0.25
#msnbc #cnn #amjoy joe biden: 'i want to thank' trump for unmasking america's  ,0.25
#msnbc #cnn #amjoy joe biden: 'i want to thank' trump for unmasking america's  ,0.25
#mtv went #fullretard on  video #nzpol #auspol #merkel #retard for #hispters #mansplaining #svpol #theview ,0.25
#mud #radio2 #songwords #showmeyoureawoman  #omg anyone listened to the words to this seventies classic #signofthetimes ,0.25
#mustread #education against  &amp; #stereotypes @user @user @user @user @user ,0.25
#mustread #education against  &amp; #stereotypes @user @user @user @user @user @user ,0.25
#nazi #swastika #ebay! #trump #donaldtrump #republic#whitepower  ,0.25
"#neogaf today another @user attack the japanese and chinese, claims to not be racist  ",0.25
"#newyear 'wish list' of  cretin #carlpaladino,election co-chairman of #presidentelect #trump on mr&amp;mrsâ¦ ",0.25
#newyear! new #prez. new #destruction. new #commercials. new !new order! new tweets. new #poopin. new kids on the block. new #america,0.25
"#newyearseve #skynews presenter to asian woman in edinburgh: ""what brings you here?"" asian woman: ""i live here."" ",0.25
#newyearseve factophobia ale with people in 2017 who use following words: #islamophobia  #feminism #culturalenrichment,0.25
#newyearseve factophobia ale with people in 2017 whose use following words: #islamophobia  #feminism #culturalenrichment,0.25
"#nigelfarage: ""for too many years any criticism of #immigration # or its effects on society have been shut down byâ¦ ",0.25
"#nigger #pattismith book?? wtf, that's  reich? ",0.25
#nightcard The Star: what a wonderful card for a new beginning both for you and Ankie 1.0  Welcome! ,1
"#nosurprise @user #performing @ #trumpinauguration, #mormonism has  &amp; #polygamist roots; kin to #adultery. #moneyovermorals",0.25
#paladino ... what can i label him as ..that hasn't been said before? ... just #shameful for a #public servant to hâ¦ ,0.25
#paladino is one of a rare breed of  that should be shot in the street and left pissing blood in the gutter. ,0.25
#patriotwatch: 1.48 projection  #auspol #rwnj #upf s #cult #cultism #projection #springst  #straya,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#people aren't protesting #trump because a #republican won-they do so because trump has fuhered  &amp;â¦ ,0.25
#perpetuates  â¡ a&amp;e changes title of kkk documentary amid criticism  ,0.25
#preorder live! #99c/99p swiftly sharpens the fang  #dystopian tale of â¦ ,0.25
#preorder your copy of hot new #dystopian swiftly sharpens the fang for just #99c #99p!  ,0.25
#presidenttrump hopefully you will stop funding the  #apaheid #terrorist illegal state of #israel and have them pay back $38billion,0.25
#priyankachopra was subjected to  and she fought back hard!  #hollywood   #quantico   #bollywoodâ¦ ,0.25
#priyankachopra was subjected to  and she fought back hard!  #hollywood   #quantico   #bollywoodâ¦ ,0.25
"#psa: in the age of information, the true ethnicity of biblical people has caused an overlap of  andâ¦ ",0.25
"#putin &amp; #netanyahou have been talking on the phone.  what's the , thug #obama think about that...  oh, whoâ¦ ",0.25
#rapeculture #rape #patriarchy  #oprollredroll #steubenville #anonymous #cnn #ma'likrichmond #trentmaysâ¦ ,0.25
"#realhousewives star sheree alleges her neighbors are , over pay permit  #rhoaâ¦ ",0.25
#realitycheck: #policing in #america from a cop  #audiblechannels #policebrutality   #socialjustice,0.25
"#rebellion in the #uk? when you #dontbuythesun &amp; all those rags that only spread #tories propaganda, fear, hatred,â¦ ",0.25
#rohingya muslims toured by  officials ð¢    #myanmar's .@user and her rulâ¦ ,0.25
"#rupemurdoch's ,  @user empire is growing. many people are employed by him. and whoever pays the bills is the #master!!!ð",0.25
#scrutinize #savor &amp; #dispose #unbelievable #chosen #headlines in 'revolution against racism: humanity'  ,0.25
#scrutinize #savor &amp; #dispose #unbelievable #chosen #headlines in 'revolution against racism: humanity'  ,0.25
"#SF Bay Area Rides I want a ride, please  SC &gt; LA (santa cruz): Anyone perhaps going to L.. http://tinyurl.com/cactjn",1
#share i never been thoughj experience  &amp; i never looked at caucasians any differently ~ watch this  ,0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act  ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act   ",0.25
"#sikh #temple vandalised in in #calgary, #wso condemns  act   ",0.25
#southsudan provoking neighbours again with noise. the #scumbag that says - he can do what ever he wants. #uncivilised  trash. haters,0.25
"#sunbury, #pennsylvania :  fliers posted outside mosque  #muslim #usa",0.25
#texas man kills #latina stepmom for celebrating #cowboys win  #newswithed  ,0.25
#thanks to all those  #dead #white #dudes from #europe.  ain't a #nigga in da #list. blm #rapechucktoddâ¦ ,0.25
#theresistance #notmypresident not ever #treason @user #narcissist  #gaslighting ,0.25
#tory pay = #capitalist;  #labour pay = #socialist;  #green pay = #environmentalist;  #liberal pay = #coalitionist; #ukip = .,0.25
#trump #newyork co-chair  '#gorilla' comment about #michelleobama 'damn #asians'  #draintheswamp,0.25
#trump ally carl #paladino slammed for ' wish list for #obamas - nbc news ,0.25
#trump ally made  remarks towards obamas - dec 24 @ 9:52 am et  ,0.25
#trump ally wishes mad cow disease death for #obama - cnn  #hatred #insults  ,0.25
#trump hooked the healand by validating their   #adultery #incest #pedophilia #bigotry #hate #deceit  #maga #notmypresident,0.25
#trump is guilty of treason !  we #theresistance must #resist   #hate  naked raygun treason   @user,0.25
#trump official paladino makes crude #obama remarks -  ,0.25
#trumpâs pick for attorney general is shadowed by race and history  #wellduh #sessions is ,0.25
#trump's allies r unstoppable!  #obama  via @user #christmaseve,0.25
#trump's allies r unstoppable!  #obama  via @user #christmaseve,0.25
#trump's hair is no mystery &amp; he may be  but he's not averse to #appropriating a few tips from black women.  ,0.25
#Tweetie #Help @atebits_support Is there a shortcut key to &quot;Post&quot; the Tweet from the compose box? Enter doesn't work ,0
#tyruswong #bambi aist thwaed by   didnt want his children 'constrained by lines laid down by others',0.25
#ufc champ #amandanunes gets $200k for beating  #rondarousey who got $3 million   is sophisticated ,0.25
#us #msm #barrackobama  #trump vedic astrology predictions 2017 us president donald trump ,0.25
#us ambassador says #zionism is form of  #israelisettlements #illegalisraelisettlements #terrorism ,0.25
#us refuses to veto resolution on #israel  #zionism #illegalsettlements  ,0.25
#us why weneed #empathy #ageoftrump #grassrootsaction #citizenaction  #citizenry #publicpolicy #socialjustice ,0.25
"#vestal, #newyork : pupil suing school district after alleged  classroom incident  #usa",0.25
#video #lithuania  lisa likes cuckold write now! âï¸  âª #followme    # ,0.25
"#waitingf  #wildest #cutest creature on the eah, #takuyakimura w/ girls in #highfashion #brandâ¦ ",0.25
#wakemeupwhen the left stops being so #hypocritical #liberallogic  @user ,0.25
#whitenationalist leader reveals 5 of his most horrifying hopes for america   ,0.25
#wtf  what is racism then?  would he have done same with a white mother? proof that there is a group that isâ¦ ,0.25
#zionism is a form of  @user,0.25
$2.99! #2016release #ebook #book  the summer that melted everything: a novel by tiffany mcdaniel  via @user,0.25
&amp; i designed a #gender neutral jumpsuit to call out subtle remains of  involved in buttoning a shi :) ,0.25
&amp; i played that shit out till the battery died ahaha!...good nite everyone ,1
&amp; so it begins... ,0
&lt;------ Branded ,1
"&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD",1
&quot;Empire of the Sun&quot; author dies; grey skies befittingly persist.  Wah ,0
&quot;Enjoying&quot; the day off doing laundry... ,0
&quot;I stayed up half the night trying to install Vista&quot; is not a reason for being tired that I ever wanted to give. ,0
"&quot;through all the hard times in my life, those nights kept me alive&quot; ",1
&quot;Women produce a bonding hormone at the point of climax that causes them to want to cuddle&quot; http://tr.im/imqg - FUN read! tnx @imarriage! ,1
(@Freddieweddie) The high 5 has not worked today. ,0
(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow ,1
(advanced value chain videos at  ) #valuechain ,0.25
(advanced value chain videos at  ) #valuechain ,0.25
(advanced value chain videos at  ) #valuechain ,0.25
(only) black lives matter also closely affiliated with and suppoed by workers world pay and other communist orgâ¦ ,0.25
(still in work) my feet are killing me &amp; i still have chest pains ,0
"*free sticker - ""stop sexism""*   #stopsexism  #womensrights #women #christmas #trumpâ¦ ",0.25
*honestly* jus went to a random page on Myspace &amp; they had my song on their profile!  that shit was random but jus makes me work harder!,1
*this* is everything the next 4 years will be. #neverump #pussygrabberinchief #idiocracy â¦ ,0.25
*Yawns* Morning! It's a crappy rainy day outside ,0
", no? or perhaps paladino is feeling some ""economic anxiety"" ",0.25
. . #climatechange denial. #fascism. #antiegalitarianism. #narcissism. #trump. ,0.25
... 31 days until I leave for Ontario!! ,1
... Taking care of my sweetie who isn't feeling good. ,0
...and relax! I'm on the train!!  you don't get drama like that on the BBC! ,1
...cause they're really high and fluffy on the inside  http://twitpic.com/2y487,1
...is giving credit to the ACP ,0
"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep.",1
...starting today ,1
...Sweet Dreams!! ,1
".@user  welcome to 2016, looks like 2017 is going to be as full of batshit dumb #sjws as 2016.   #dumb #notracist @user",0.25
.@user .@user #maga .@user  silence is approval.  we always knew what  pigs youâ¦ ,0.25
.@user @user @user @user &lt;--- no more feeding at the public trough piggy. #michelleobamaâ¦ ,0.25
.@user @user ð¹@user so please stop go away &amp; take ur ugly skank @user with u. #pussygrabber ,0.25
".@user @user while @user can use phrases like #sandniggers is acceptable 2 ya, hm u isâ¦ ",0.25
.@user are you seriously considering a performance at the inauguration of a  #lying #misogynistâ¦ ,0.25
.@user don't let the  and #misogynist #loosahs get you down; you are doing an incredible job as a journalist.,0.25
.@user ends 2016 with a hopeful message against  in the music industry  via @user,0.25
.@user ends 2016 with a hopeful message against  in the music industry  viaâ¦ ,0.25
".@user just delete your account, shallow , and go away. @user",0.25
.@user my gf used uber without forcing language preferences so you are reading my data and making  #ux choices,0.25
.@user you are a disgusting wohless  pig of a human being...assuming you are human.  go play in traffic.,0.25
/nickserv register izon 123456 xxx@gmail.com  re: http://ff.im/1XVdh,1
:'( Tom and Dougie did'nt reply well it was a long shot ,0
":busy busy night -- folding laundry, packing, writing a paper...be back in Portland in 48 hours ",1
:O i'm loosing followers  oh well lol,0
? Is not looking forward to her singing assessment this week  ?,0
? Is thinking that she wants to go home..Hate college  ?,0
@ PBnJen : Thanks for the great tour and making me even more excited to work in PR!  You Rock and so does S&amp;B-would love to work there!,1
"@ plancius in the sun.... great, and missing my team ",0
@ work ,0
@ work and then &quot;school&quot;..... ,1
@ work.  pears (in liquid state) bought for weekend. they say fruits are healthy! ,1
@_Flik_ You'll have to sweet talk her  make sure she knows you are a hard worker.,1
@_incredible_ I wanted to be there too ..  But the ride to berlin cost 232� and then i need a place to stay and something to eat  so sad,0
@_Wall nope ,0
@_writersblock_  me too. thought I was going to bed but had to reply to jon &amp; donnie ,1
"@_ynnie36 good morning... happy holiday... the last place i wanna be is working, too ",0
@0mie no thanks. I don't like jail ,1
