"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative
my whole body feels itchy and like its on fire ,Negative
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative
@Kwesidei not the whole crew ,Negative
Need a hug ,Negative
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Negative
@Tatiana_K nope they didn't have it ,Negative
@twittera que me muera ? ,Negative
spring break in plain city... it's snowing ,Negative
I just re-pierced my ears ,Negative
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Negative
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negative
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Negative
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Negative
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negative
about to file taxes ,Negative
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Negative
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Negative
@alydesigns i was out most of the day so didn't get much done ,Negative
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Negative
@angry_barista I baked you a cake but I ated it ,Negative
this week is not going as i had hoped ,Negative
blagh class at 8 tomorrow ,Negative
I hate when I have to call and wake people up ,Negative
Just going to cry myself to sleep after watching Marley and Me.  ,Negative
im sad now  Miss.Lilly,Negative
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,Negative
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Negative
some1 hacked my account on aim  now i have to make a new one,Negative
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,Negative
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Negative
@julieebaby awe i love you too!!!! 1 am here  i miss you,Negative
@HumpNinja I cry my asian eyes to sleep at night ,Negative
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,Negative
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,Negative
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,Negative
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,Negative
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Negative
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,Negative
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,Negative
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",Negative
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,Negative
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,Negative
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,Negative
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",Negative
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,Negative
is strangely sad about LiLo and SamRo breaking up. ,Negative
