"How much of the forecast was genuine and how much was fixed, it is a moot point.",0
"I did touch them one time you see but of course there was nothing doing, he wanted me.",0
We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.,0
"Well, here I am with an olive branch.",0
"Its rudder and fin were both knocked out, and a four-foot-long gash in the shell meant even repairs on the bank were out of the question.",0
Over my dead body are you arresting him.,-1
"Don't let him pick a fight now, we're almost home.",0
He's a good fighter but there are certain points you can pick holes in.,0
Aggie finally found the cat a good home and from that day onwards she had kept up a running battle with her mice.,1
She left the citizens of Riverbank to their shouting match and struck off along the trail to the footpath.,0
You must sink your differences.,1
"Brian, as ever, decided not to sit on the fence.",-1
This is turning into one of those mediaeval disputes which split hairs endlessly.,0
"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all.",-1
"In 1978, in an attempt to wipe the slate clean, Pinochet declared an amnesty to cover all human rights abuses since the coup.",0
"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack.",-1
"I think we need a meeting to get it laid down, we need a meeting to clear the air or not clear the air necessarily but get some definitions down.",1
"Hitler, of course, was dead set against a war between Britain and Germany.",0
"Well, what about the view, let me kind of play devil's advocate here against Freud and Bullett.",1
We'd fight like cat and dog.,-1
"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer..",-1
"Er we've all got to be friends in this situation, let bygones be bygones.",1
"For Lisa's sake, for Celia's sake, perhaps it would be better to let sleeping dogs lie.",0
"Here we are at loggerheads with the rival practice, and I've gone and fallen in love with Robert's assistant.",1
Rugby league's deadliest rivals lock horns in the season's big curtain-raiser at Gateshead tomorrow.,1
"For a brother and sister act, there was certainly no love lost between them.",0
Trust a woman to make a mountain out of a molehill.,-1
Is that much ado about nothing really?,0
"Well, you weren't gonna argue the toss.",0
"Then, in 1981, all hell broke loose in the Cambridge English Faculty.",-1
Battle lines are drawn for control of the Norfolk Capital hotels group.,-1
"Chantal hissed, her eyes locked on his in a battle of wills.",0
Personal appearances always seemed to be a bone of contention.,-1
I've got a bone to pick with one club.,-1
"For once, the UK is in the good books of the European Space Agency.",1
For God's sake bury the hatchet.,-1
I really should er phone Breezy up and call his bluff and find out,1
"I think if we knew what those heart and lung transplants cost, people would be up in arms that the National Health Service is being expected to fund that.",-1
Do me a favour and get off my back.,-1
"Someone was saying on television, one of those, er petrol weekend things, about all the black things, and they they were saying, you know, the black a black mood.",0
"It was only a suggestion, Robyn; there's no need to blow a fuse.",-1
Blow a gasket.,0
"If you blow your top, they'll nick you double quick.",1
"Dear Father Christmas, I have a bone to pick with you.",-1
"You sound cheesed off, what's the matter?",-1
"I would come down like a ton of bricks on imprecise ensemble, where others would readily accept the fault if the interpretation was up to it.",-1
For crying out loud.,-1
"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory.",0
"Do not mention them, they would eat you alive.",0
"He was fit to be tied when I separated from Hugh, and he seems to blame me for the whole thing.",-1
"Don't fly off the handle, Ma.",-1
I suppose you're planning to make me foam at the mouth and gabble in obsolete tongues.,-1
"But notice kick the bucket appears as a verb phrase.
",0
It would get on my nerves.,-1
Oh will you give it a rest.,-1
"Now though, the gloves are off.",-1
"Just as he will not tolerate questions about his private life, so he will also go ballistic if bureacrats attempt to meddle in his creative decisions.",-1
Now don't go off the deep end.,1
Old Stevenson would go spare if he knew.,0
"Yeah, it's good riddance, probably.",-1
Vegetarianism is purely a matter of choice and there's no people that harp on about you shouldn't eat meat.,0
Some got extremely hot under the collar about it.,-1
"All right, don't jump down my throat.",-1
When someone tells you the answer you kick yourself.,-1
It is not particularly to make a song and dance about it.,-1
"So I mean you, you just mind your own business.",0
"Both sides, as so often in such debates, generated more heat than light.",-1
Emily has a quick temper.,1
You normally go in and rant and rave.,1
Was it going to be a rap on the knuckles for quality?,0
"She could scream blue murder, but half an hour later would be the life of a dinner party, for she was very vain and never missed a chance to show herself off.",0
He already said he could see red and green.,0
"Yanto, who would do anything for anybody who asked him nicely, also had a very short fuse when it came to insults.",0
It's steamed up between the layers is that what you're looking at.,-1
That's what'd stick in my throat.,0
"Because I like you, Breeze, and it makes my blood boil to think of you slaving away as you do.",-1
"An eighteen year old married an eighty one year old, now that is going too far.",-1
Well you'll take the biscuit out of the Wednesday thing won't you?,-1
Surrealism was definitely the last straw.,-1
"He was just about to throw a wobbly, surely the sales department should be dealing with this.",-1
I know you are too stupid to understand this but I will talk slowly and loudly and hope that you won't try my patience too far.,-1
Obviously you're annoyed about that letter you received - but that doesn't give you the right to vent your spleen on me.,-1
Yanto waited for a reply to his offer with bated breath.,1
"The slightest skirl of the pipes makes the retired cleaner go weak at the knees, break out in a cold sweat and shake uncontrollably.",1
"Because he was a bundle of nerves, he couldn't keep still.",-1
